_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,intention,intention:confidence,type_of_donation,type_of_donation:confidence,what,where,who,category,id,intention_gold,screenname,text,type_of_donation_gold,userid,what_gold,who_gold
197558688,false,finalized,4,9/8/2012 08:02:32,Invites/asks people to donate/provide/give/do something,0.7496,Money,0.7344,"
help us respond

. Txt REDCROSS to 90999","
Joplin
Joplin
in #Joplin","
RedCross
REDCROSS
You can help us","Donations of money, goods or services",72829702108221408,,BamBamLand," @RedCross You can help us respond in #Joplin &continue our work in other states. Txt REDCROSS to 90999, or online: http://bit.ly/eZJDoJ",,170268266,,
197558689,false,finalized,3,9/8/2012 05:58:40,Reports that something has been donated/provided/given/done,0.6841,"Other, or not specified",0.6841,"Relief

","Joplin
Joplin
","

","Donations of money, goods or services",73887775350472704,,deboramurray,Wine Tasting To Benefit Joplin Tornado Relief http://conta.cc/mTJSmw via #constantcontact,,28130646,,
197558690,false,finalized,3,9/8/2012 06:37:22,Reports that something has been donated/provided/given/done,1.0,"Other, or not specified",1.0,"
tornado-ravaged Joplin and renamed hospital reopen
","Joplin
Joplin
","Obama
Obama
","Donations of money, goods or services",74921617435803600,,RAfTLF,Obama visits tornado-ravaged Joplin; renamed hospital reopens (via CNN Political Ticker) http://nblo.gs/itw0q,,184626704,,
197558691,false,finalized,3,9/8/2012 07:58:29,Both (invites and reports),0.7081,Money,0.6285,"$10
$10
to donate $10 or online","joplin
joplin
","REDCROSS
REDCROSS
","Donations of money, goods or services",72883133334294400,,felttippin, @techguerilla: A reported 75% of #joplin is destroyed by #tornado.  Text REDCROSS to 90999 to donate $10 or online @ http://j.mp/mliOvs,,14941813,,
197558692,false,finalized,3,9/8/2012 21:52:51,Reports that something has been donated/provided/given/done,1.0,"Other, or not specified",1.0,"donations

donations","

CHAMPAIGN","Champaign church

Community","Donations of money, goods or services",73243803984736000,,rynfrnk, @gabethaman: Community Helps Tornado Victims: CHAMPAIGN--A Champaign church is overwhelmed by donations. http://bit.ly/mqKHpu (via @W ...,,14193848,,
197558693,false,finalized,3,9/8/2012 07:03:27,Reports that something has been donated/provided/given/done,0.7047,Money,1.0,"$25K
$25K
$25K","Missouri
Missouri
Missouri","The Rams
The Rams
Rams","Donations of money, goods or services",74184780857614304,,NFL_Monster,"Rams to contribute $25K to tornado relief efforts in Missouri: The Rams are contributing $25,000 to relief effor... http://bit.ly/mMo6h4",,96871753,,
197558694,false,finalized,3,9/8/2012 07:27:01,Reports that something has been donated/provided/given/done,0.6841,"Other, or not specified",1.0,"Goods
Goods
","Bettenhausen Dodge
Joplin
","Bettenhausen Dodge
Bettenhausen Dodge
","Donations of money, goods or services",74095784626372608,,tornadoeswatch,Bettenhausen Dodge Collects Goods for Joplin Tornado Survivors - Patch.com: TribLocalBettenhausen Dodge Collects... http://bit.ly/krp3k2,,73926322,,
197558695,false,finalized,3,9/8/2012 07:40:12,Reports that something has been donated/provided/given/done,1.0,"Other, or not specified",0.6748,"help

stepping up to help","Stevens Point
Stevens
A Stevens Point","A Stevens Point 6 year old
6 Year Old
6 year old","Donations of money, goods or services",78246516581613504,,gingergirl4242, @WSAW: 6 Year Old to Help Tornado Victims: A Stevens Point 6 year old is stepping up to help tornado victims across the... http://bit ...,,22135298,,
197558696,false,finalized,3,9/8/2012 07:58:29,Reports that something has been donated/provided/given/done,0.641,"Other, or not specified",1.0,"
Message of Hope and Support
","Joplin, Missouri
Joplin, Missouri
","Obama
President Barack Obama
","Donations of money, goods or services",75149739024334800,,wai1twit," @cnsrvativeNurse: Obama Offers Message of Hope and Support to Tornado-Damaged Joplin, Missouri: President Barack Obama, third from... ...",,16918592,,
197558697,false,finalized,3,9/8/2012 07:44:39,Reports that something has been donated/provided/given/done,0.641,"Other, or not specified",1.0,"
Disaster Recovery Plan
","Joplin
#Joplin
","
SBA's
","Donations of money, goods or services",73084466922401600,,SynergyBizNWA,For #smallbiz owners in #Joplin - and elsewhere - a link to the SBA's Disaster Recovery Plan http://ow.ly/51Xiv,,35873428,,
197558698,false,finalized,3,9/8/2012 07:58:29,Reports that something has been donated/provided/given/done,0.6457,"Other, or not specified",1.0,"

","
Joplin, Mo.
","

","Donations of money, goods or services",76986860777377600,,jgmitch,"Reaching out to help Joplin, Mo., after tornado http://bit.ly/lVfbB2",,19276503,,
197558699,false,finalized,3,9/8/2012 07:40:12,Reports that something has been donated/provided/given/done,1.0,"Other, or not specified",1.0,"
Support
","
In Today's Tweet Dreams
","Taylor Swift
Taylor Swift
","Donations of money, goods or services",73865058828034000,,DemsMinhaTurtle,Taylor Swift Encourage Support For Tornado Victims In Today's Tweet Dreams http://t.co/Tiwh7p4,,259906042,,
197558700,false,finalized,3,9/8/2012 07:54:56,Invites/asks people to donate/provide/give/do something,1.0,"Other, or not specified",1.0,"
Help
","Joplin
The Joplin Project
","Joplin Project

","Donations of money, goods or services",80015080422506400,,SirPwn4g3, @GrimBrotherOne: Help out The Joplin Project and help out one of our pwn. ;-) http://t.co/JZhknKu Please  #HaloCommunity #tornado # ...,,7801032,,
197558701,false,finalized,3,9/8/2012 19:09:12,Reports that something has been donated/provided/given/done,0.6752,"Other, or not specified",1.0,"tornado aid

tornado aid","Joplin

Joplin","Obama

Obama","Donations of money, goods or services",75167882341916608,,voiceofnewyork,"Obama vows tornado aid in visit to Joplin: WASHINGTON -- A week after a killer tornado decimated Joplin, Mo., Pr... http://nyp.st/jMGNdH",,105774340,,
197558702,false,finalized,3,9/8/2012 06:47:17,Reports that something has been donated/provided/given/done,1.0,"Other, or not specified",1.0,"
help
stepping up to help tornado victims","Stevens Point
Stevens Point
A Stevens Point","6 year old
A Stevens Point 6 year old
6 year old","Donations of money, goods or services",78244711931985904,,spsenski,She takes after her incredible mother. :) // A Stevens Point 6 year old is stepping up to help tornado victims http://bit.ly/m5jh5Y,,164377995,,
197558703,false,finalized,3,9/8/2012 18:45:50,Invites/asks people to donate/provide/give/do something,0.3543,Money,0.6791,"Lottery Prize
Lottery Prize
Donate Lottery Prize","Joplin
to Joplin Tornado Fund
Joplin","Man
Springfield Man Plans
Springfield Man","Donations of money, goods or services",78480976145158000,,worldlottonews,UPDATE: Springfield Man Plans to Donate Lottery Prize to Joplin Tornado Fund http://bit.ly/iAOq6R,,202159116,,
197558704,false,finalized,3,9/8/2012 07:34:24,Invites/asks people to donate/provide/give/do something,1.0,Volunteers/work,1.0,"volunteer

to volunteer in #joplin.","joplin
joplin
","Medical personnel
Medical personnel
Medical personnel","Donations of money, goods or services",72532976315006800,,goMarielle,@BrentBeshore  Medical personnel should register at https://www.showmeresponse.org/ to volunteer in #joplin.,,135405245,,
197558705,false,finalized,3,9/8/2012 18:55:29,Invites/asks people to donate/provide/give/do something,0.3543,"Other, or not specified",1.0,"

donated clothes","Joplin

Joplin","RedCross

RedCross","Donations of money, goods or services",72827930719432704,,rqskye,"RedCross doesnt accept donated clothes. Plz do not drop items at MSSU; they're piling up in living space, causing logistical issues. #Joplin",,104342504,,
197558706,false,finalized,3,9/8/2012 18:55:29,Reports that something has been donated/provided/given/done,0.6752,"Other, or not specified",1.0,"mineral makeup
mineral makeup to benefit tornado victims
Happy Hour feat","

Mclean, VA","Makeover Happy Hour feat. fab @janeiredale
fab @janeiredale
n/a","Donations of money, goods or services",74186040608436000,,SkinBySandra,Makeover Happy Hour feat. fab @janeiredale mineral makeup to benefit tornado victims! Spread the word! http://bit.ly/mveVsS #DCevents,,73278551,,
197558707,false,finalized,3,9/8/2012 07:27:01,Invites/asks people to donate/provide/give/do something,1.0,Money,0.6457,"

REDCROSS to 90999","
Joplin
","
REDCROSS
","Donations of money, goods or services",72769152108072800,,AugustanaFans," @RedCross: You can help us respond in #Joplin &continue our work in other states. Txt REDCROSS to 90999, or online: http://bit.ly/eZJDoJ",,29589731,,
197558708,false,finalized,3,9/8/2012 07:27:01,Reports that something has been donated/provided/given/done,1.0,"Other, or not specified",1.0,"

","
Joplin
","Cardinals, Royals
Royals
","Donations of money, goods or services",78572553198768000,,Safya77,"Cardinals, Royals 'Unite for Joplin' tornado victims in upcoming series - ky3.com http://t.co/cIrib7u",,36380054,,
197558709,false,finalized,3,9/8/2012 18:28:45,Invites/asks people to donate/provide/give/do something,1.0,"Other, or not specified",0.6791,"vital supplies
drop vital supplies off
Help","MA
@ your local firestation.
MA.","

MA tornado victims","Donations of money, goods or services",77754686245052400,,aidsaction, @socialcap: Help #MA tornado victims: drop vital supplies off @ your local firestation. Details @BostonChannel post http://bit.ly/jgMlAb,,16114551,,
197558710,false,finalized,3,9/8/2012 07:07:56,Invites/asks people to donate/provide/give/do something,0.6841,Volunteers/work,1.0,"

","ront door of Freeman West

","doctors and nurses from regional hospitals
Hospital
","Donations of money, goods or services",72682396750848000,,addison_l, @eyokley: Hospital officials are asking all doctors and nurses from regional hospitals to report to the front door of Freeman West.   ...,,15102729,,
197558711,false,finalized,3,9/8/2012 06:37:22,Reports that something has been donated/provided/given/done,0.6791,"Other, or not specified",1.0,"

","
Joplin
","

","Donations of money, goods or services",73504405273583600,,wildheart4vr, @TeriChristoph: This blogger has put together a great list of ways to help the residents of #Joplin -&gt; http://bit.ly/iw7Ljg,,6170452,,
197558712,false,finalized,3,9/8/2012 18:45:50,Reports that something has been donated/provided/given/done,1.0,Money,1.0,"$200K
donate $200K
$200K","

n/a","MLB and MLBPA
MLB and MLBPA
MLB and MLBPA","Donations of money, goods or services",73914522880057200,,sportskaoriz2,MLB and MLBPA donate $200K toward tornado relief efforts - SportingNews.com http://bit.ly/mUvGH0,,173060616,,
197558713,false,finalized,3,9/8/2012 06:42:02,None of the above,0.641,"Other, or not specified",0.641,"
$
","

","
Cantor
","Donations of money, goods or services",78298474944274400,,ChavezChavis, @Dargamogirl: @ChavezChavis @maddow Cantor is a disgrace. Says find $ elsewhere B4 givin to tornado vics. That moron shld resign. #do ...,,30523211,,
197558714,false,finalized,4,9/8/2012 08:02:32,Invites/asks people to donate/provide/give/do something,0.4596,"Other, or not specified",1.0,"
help

","

joplin
","couponers
couponers

","Donations of money, goods or services",73210203616722800,,AW_Berry, @divephantom19: http://bit.ly/kvo191  How couponers can help Tornado Victims-pass it along!,,17515578,,
197558715,false,finalized,3,9/8/2012 07:27:01,Invites/asks people to donate/provide/give/do something,1.0,Money,1.0,"$
donate $
donate $","Joplin
http://www.operationbelieve.org & DL music
","
http://www.operationbelieve.org & DL music
","Donations of money, goods or services",77548497615851504,,swt_peach, @believeinjoplin: Help change lives in #Joplin! Visit http://www.operationbelieve.org & DL music to donate $ to St. Johns Hospital &  ...,,237764074,,
197558716,false,finalized,3,9/8/2012 22:19:59,Reports that something has been donated/provided/given/done,1.0,Shelter,0.6792,"shelter

following our efforts","Joplin

SlaveLake","Sparkrelief.org

you","Donations of money, goods or services",73919793052397504,,Sparkrelief,@DPrimley Thank you so much  for following our efforts to find #shelter for disaster survivors! - Sparkrelief.org #Joplin #SlaveLake,,205568660,,
197558717,false,finalized,3,9/8/2012 07:13:10,Reports that something has been donated/provided/given/done,1.0,Volunteers/work,0.6503,"

","
Joplin
","

","Donations of money, goods or services",74305868425990000,,JosieMazz," @rocaeternaschoo: PLS , #CLT! SEEKING #Joplin org to assist 3 #marines making the trip to help w/ rescue! ALL have security & medic ...",,43367279,,
197558718,false,finalized,3,9/8/2012 07:58:29,Reports that something has been donated/provided/given/done,0.6841,"Other, or not specified",1.0,"

","Joplin, Missouri
Joplin, Missouri;
","
President Obama
","Donations of money, goods or services",75523546973081600,,JessicaSmith010,"President Obama visits tornado-ravaged Joplin, Missouri; speaks to survivors at memorial service. http://bit.ly/ev4tWQ",,285900966,,
197558719,false,finalized,3,9/8/2012 06:32:43,None of the above,0.359,"Other, or not specified",1.0,"donate

","@mikeziemer New @christoferdrew
Joplin
","

","Donations of money, goods or services",76486938714050400,,IAmChuklochik," @lights: Good vid, good cause!  @mikeziemer New @christoferdrew (NSN) song... w/ footage of Joplin tornado & ways to donate: http:/ ...",,46065674,,
197558720,false,finalized,3,9/8/2012 07:07:56,Invites/asks people to donate/provide/give/do something,0.641,"Other, or not specified",1.0,"anything you can spare
anything
","

","you
Tornado Relief Fund
","Donations of money, goods or services",78492993321046000,,spiderwomn69, @kcchiefs: HELP: Tornado Relief Fund - Please consider donating anything you can spare to this terrific cause. - http://t.co/IoZxshM,,28183902,,
197558721,false,finalized,3,9/8/2012 06:21:38,Reports that something has been donated/provided/given/done,1.0,Food,1.0,"foodharvest

","Joplin, MO
Joplin, MO
","@FeedingAmerica Agencies for @ozksfoodharvest

","Donations of money, goods or services",72777923505033200,,NatashaChart,"MT @mariyastrauss MT @FeedingAmerica Agencies for @ozksfoodharvest helping communities in Joplin, MO. http://bit.ly/irJ1mc #tornado #Joplin",,11148162,,
197558722,false,finalized,3,9/8/2012 19:09:12,Invites/asks people to donate/provide/give/do something,0.6791,Blood,1.0,"Blood Drive

Emergency Blood Drive","KansasCity, MO

JOPLIN","American Red Cross

n/a","Donations of money, goods or services",72746304878546800,,PSJoplin," @SantaFeTow: Emergency Blood Drive for #JOPLIN today at 2pm - American Red Cross: KCMO  211 West Armour Boulevard in #KansasCity, MO  ...",,21314191,,
197558723,false,finalized,3,9/8/2012 07:30:42,Reports that something has been donated/provided/given/done,1.0,Shelter,1.0,"shelter
shelter
OKC tornado victims shelter","Piedmont Baptist Church. Red Cross
Piedmont Baptist Church
Piedmont Baptist Church","
Red Cross
","Donations of money, goods or services",73222298148151200,,ChosenMert, @SandiPattyP:  @jabberjoy: @SandiPattyP  Plz (1)OKC tornado victims shelter at Piedmont Baptist Church. Red Cross there. PLASTIC  ...,,67671690,,
197558724,false,finalized,3,9/8/2012 07:34:24,Reports that something has been donated/provided/given/done,0.6341,Money,0.6673,"Funds to Aid Tornado Victims
supplies
Collecting Funds To Aid","

","NFL
NFL
NFL","Donations of money, goods or services",73447060216614800,,hayes1098,NFL Collecting Funds To Aid Tornado Victims: By SportsDirect Three NFL teams have begun collecting supplies and ... http://bit.ly/ljg5KM,,133926100,,
197558725,false,finalized,3,9/8/2012 22:11:22,Reports that something has been donated/provided/given/done,1.0,"Other, or not specified",1.0,"

Tornado Relief","

","Tornado Relief, ROTC and Rebecca Black

","Donations of money, goods or services",76709118286643200,,ATMilitary," @studentadvisor: This Week in College News: Tornado Relief, ROTC and Rebecca Black http://t.co/PBn8GKH #college #highered",,147679940,,
197558726,false,finalized,3,9/8/2012 21:52:51,Both (invites and reports),0.6436,Money,1.0,"$1,000

over $1,000","

Joplin","Blog4Joplin

We","Donations of money, goods or services",76004654818926400,,goMarielle," @SippyCupMom: #Blog4Joplin has raised over $1,000! We STILL have blog accepting advertisers for as low as $5 a month will proceeds go ...",,135405245,,
197558727,false,finalized,3,9/8/2012 18:28:45,Invites/asks people to donate/provide/give/do something,1.0,Volunteers/work,1.0,"

Help","Joplin,MO

Joplin,MO,","nurses and doctors

need nurses or doctors","Donations of money, goods or services",72656329503805408,,wshemp," @BadAstronomer:  @samc76: we need nurses or doctors looking to help re #Joplin,MO, call 417-832-9500 for the Greater Ozarks of the  ...",,15604466,,
197558728,false,finalized,3,9/8/2012 18:45:50,Reports that something has been donated/provided/given/done,0.6457,Money,1.0,"$1M
$1M
$1M","

in the South","TaylorSwift13
The wonderful @TaylorSwift13
TaylorSwift","Donations of money, goods or services",75573450059689904,,beliefnet,The wonderful @TaylorSwift13 raises almost $1M for tornado victims! Read the story and watch a clip from the show http://spr.ly/6019REgS,,14626584,,
197558729,false,finalized,3,9/8/2012 07:30:42,Reports that something has been donated/provided/given/done,1.0,"Other, or not specified",1.0,"
help with Tornado Relief Efforts
","Alabama
Alabama
","

","Donations of money, goods or services",74931342193864704,,davideprince,About to head to Sweet Home Alabama to help with Tornado Relief Efforts. Will be in Bham tonight (Lord willing),,17503707,,
197558730,false,finalized,3,9/8/2012 07:18:05,Reports that something has been donated/provided/given/done,0.6424,"Other, or not specified",0.6722,"
child care
","
Joplin
Joplin","
#MoHaves
child care","Donations of money, goods or services",72804597529448400,,mizzouatheart, @PFCinKC: call 866-892-3228 for referrals to available child care in Joplin during recovery efforts.  #MoHaves Please ,,21459028,,
197558731,false,finalized,3,9/8/2012 07:40:12,Reports that something has been donated/provided/given/done,0.641,"Other, or not specified",1.0,"donations
donations
","joplin
Joplin
","
our team, #wearealabama
","Donations of money, goods or services",76744552555356000,,CaravanOfHope,"@CBS42 please RT, Pray for our team taking donations to Joplin today! Thanks for the support from everyone!! #wearealabama #Joplin",,304227159,,
197558732,false,finalized,3,9/8/2012 07:13:10,Invites/asks people to donate/provide/give/do something,0.669,"Other, or not specified",0.351,"
bid on autographed MCR drumhead bid on autographed MCR drumhead to help tornado victims
autographed MCR drumhead","Mississippi
Mississippi
","
tornado victims
","Donations of money, goods or services",75980740675907504,,MCRmy_India, @ViennaKISS: 2 days left to bid on autographed MCR drumhead to help tornado victims in Mississippi ! http://www.tinyurl.com/HelpMCRHelpMS,,270287272,,
197558733,true,golden,14,9/8/2012 21:52:51,Reports that something has been donated/provided/given/done,0.7114,"Other, or not specified",0.7893,"Goodyear Blimps Assist Tornado Relief Effort
Assist Tornado Relief Effort

Assist Tornado Relief Effort
Tornado Relief
Relief
Assist Tornado Relief Effort
Tornado Relief Effort





Goodyear Blimps","AKRON, Ohio
those devastated by recent tornados
AKRON, Ohio
AKRON, Ohio
AKRON, Ohio
AKRON, Ohio
AKRON, Ohio
AKRON, Ohio

AKRON, Ohio



AKRON, Ohio","The Goodyear Tire & Rubb
Goodyear Blimps
Goodyear Blimps
Goodyear Blimps
The Goodyear Tire & Rubb
Goodyear Blimps
Goodyear Blimps
Goodyear Blimp

Goodyear Blimps



Goodyear","Donations of money, goods or services",74183700966940608,Reports that something has been donated/provided/given/done,ExpediteShip,"Goodyear Blimps Assist Tornado Relief Effort: AKRON, Ohio, May 27, 2011 /PRNewswire/ -- The Goodyear Tire & Rubb... http://prn.to/lskBqa","Money
Equipment (machine/generator/pump/etc.)
Volunteers/work
Other, or not specified",145679057,,
197558734,false,finalized,3,9/8/2012 22:19:59,Reports that something has been donated/provided/given/done,1.0,Money,1.0,"$10,000
donating at least $10,000
$10,000","Joplin
to Joplin tornado relief
Joplin","New Era
Bills players, New Era donating
Bills players, New Era","Donations of money, goods or services",76442268629864400,,BradHouTx," @ProFootballTalk: Bills players, New Era donating at least $10,000 to Joplin tornado relief http://bit.ly/ln4qMA",,24635996,,
197558735,false,finalized,3,9/8/2012 18:55:29,Invites/asks people to donate/provide/give/do something,1.0,"Other, or not specified",0.6457,"Bottled water, diapers, non-perishable baby formula

Donations","

n/a","

n/a","Donations of money, goods or services",78838056777555904,,,"Donations for tornado victims can be dropped off: Bottled water, diapers, non-perishable baby formula",,,,
197558736,false,finalized,3,9/8/2012 21:52:51,Reports that something has been donated/provided/given/done,0.6771,"Other, or not specified",1.0,"

liked a @YouTube video","Joplin

Joplin","

I","Donations of money, goods or services",73525053031067600,,Celso_N,I liked a @YouTube video http://youtu.be/xVOsKlwDWHo?a Devastating Tornado in Joplin Fund Raiser,,54662618,,
197558737,false,finalized,3,9/8/2012 21:24:18,Invites/asks people to donate/provide/give/do something,0.3564,"Other, or not specified",1.0,"

RT","joplin

joplin","

you","Donations of money, goods or services",79994632649445200,,lomargie,@iMommygame Thank you for the RT! #donate #joplin #tornado,,47759008,,
197558738,false,finalized,3,9/8/2012 07:44:39,Reports that something has been donated/provided/given/done,1.0,"Other, or not specified",1.0,"
#tornado response
","#Joplin, #Twin Cities, #Tuscaloosa
#Joplin, #Twin Cities, #Tuscaloosa, beyond
","WorldVisionNews
@WorldVisionNews
","Donations of money, goods or services",73416430690910208,,TopGunRadio," @WorldVisionNews: Our #tornado response continues in #Joplin, #Twin Cities, #Tuscaloosa, beyond. See all World Vision press updates h ...",,44985181,,
197558739,false,finalized,3,9/8/2012 21:38:59,Reports that something has been donated/provided/given/done,1.0,Shelter,1.0,"shelter
middle school tornado shelter
tornado shelter","middle school tornado shelter

The middle school","

","Donations of money, goods or services",73501669345869600,,WestsideSchools,The middle school tornado shelter is open to the public at this time.,,20187491,,
197558740,false,finalized,3,9/8/2012 18:55:29,Reports that something has been donated/provided/given/done,0.3543,Money,0.6791,"100% of the proceeds

party","Joplin

Joplin","Sellout

n/a","Donations of money, goods or services",78184083708063600,,GerminatingSeed, @Ms_Frye: #Topeka #Lawrence #KC Jammin for Joplin with the band Sellout!! 100% of the proceeds go to #Joplin!! http://on.fb.me/iJzgbk ...,,284180090,,
197558741,false,finalized,3,9/8/2012 07:19:56,Reports that something has been donated/provided/given/done,0.6748,"Other, or not specified",1.0,"relief
autograph signing
autograph signing","Minnesota
Minnesota
","Minnesota Twins
Minnesota Twins
Minnesota Twins","Donations of money, goods or services",73441963860426704,,TooCrazyFox, @MinnesotaNews: Minnesota Twins to hold autograph signing for tornado relief http://bit.ly/jwznbK,,247207417,,
197558742,false,finalized,3,9/8/2012 07:51:31,Reports that something has been donated/provided/given/done,0.6841,"Other, or not specified",0.641,"

","

","

","Donations of money, goods or services",75159297675370400,,jprockfela,"Tornado cleanup saps Merrill budgets: Eric Heimerl, left, and Brian Oestreich of EJ Construction and Oestreich B... http://bit.ly/mv17oH",,205316661,,
197558743,false,finalized,3,9/8/2012 07:07:56,Reports that something has been donated/provided/given/done,0.359,"Other, or not specified",1.0,"donations
donations
donations","Webb City MO
Webb City MO Church
Webb City MO","Church

Church","Donations of money, goods or services",73864844532662208,,amb1028,Webb City MO Church taking donations for #Joplin relief.,,35773339,,
197558744,false,finalized,4,9/8/2012 07:18:05,Reports that something has been donated/provided/given/done,0.7299,"Other, or not specified",0.5078,"


","#joplin


North Main St","Metro Appliances & More on North Main St


Metro Appliances & More","Donations of money, goods or services",73050416832708608,,restorejoplin,Metro Appliances & More on North Main St is setting up a Distribution Center. Call (417) 782-1008 or (417) 438-1478 for details. #joplin,,303832848,,
197558745,false,finalized,3,9/8/2012 07:44:39,Reports that something has been donated/provided/given/done,1.0,Money,1.0,"over $750,000
$750,000
raise over $750,000","

","Taylor Swift's Speak Now Help Now show
Taylor Swift's
Taylor Swift's Speak Now","Donations of money, goods or services",76219318538485600,,inspiretaylor," @CelebsFacts: Taylor Swift's Speak Now Help Now show raise over $750,000 for tornado victims. #CelebsFacts",,291285859,,
197558746,false,finalized,3,9/8/2012 07:58:29,Invites/asks people to donate/provide/give/do something,0.641,"Other, or not specified",0.6748,"donation
donation
make a donation to Joplin","Amnesia
Joplin
","yu

","Donations of money, goods or services",74930878383521600,,Luh_Red_,That's cute . If yu go to Amnesia tonight yu can make a donation to Joplin because of the tornado.,,71172574,,
197558747,false,finalized,3,9/8/2012 06:47:17,Invites/asks people to donate/provide/give/do something,0.3543,"Other, or not specified",0.6791,"

help.","

","

","Donations of money, goods or services",73941352160821200,,LifeNowInColor," @crownsbass5: After seeing real tornado damage firsthand, God showed me how important it is to help. We gotta get moving, people!",,86994297,,
197558748,false,finalized,3,9/8/2012 18:28:45,None of the above,0.3543,"Other, or not specified",0.6752,"

deadliest tornado","joplin

Joplin,","

YOU can help","Donations of money, goods or services",73364282129121200,,ConfluenceUSA,How YOU can help those affected by the deadliest tornado in modern record-keeping era http://bit.ly/k5Ghum @restorejoplin,,174667688,,
197558749,false,finalized,3,9/8/2012 06:57:22,Invites/asks people to donate/provide/give/do something,1.0,"Other, or not specified",0.6722,"
donations
donations","
J.R. Johnston Tack, 810 W. Locust in Bowling Green
810 W. Locust","

","Donations of money, goods or services",73459602448060400,,TheBGT,Please give donations at J.R. Johnston Tack for delivery to victims of the Joplin tornado located at 810 W. Locust in Bowling Green.,,20592709,,
197558750,false,finalized,3,9/8/2012 07:34:24,Reports that something has been donated/provided/given/done,1.0,"Other, or not specified",1.0,"help

","Connecticut
Connecticut
","Connecticut residents
residents
","Donations of money, goods or services",76258694077235200,,ctlocalsus,#Connecticut Connecticut residents help in tornado response http://ctlocals.us,,262413416,,
197558751,false,finalized,3,9/8/2012 07:30:42,Both (invites and reports),0.6841,Money,1.0,"proceeds
$14.95
relief T-shirts,""One State. One Spirit. One Mizzou"". $14.95","

","Mizzou athletics
Mizzou athletics
Mizzou athletics","Donations of money, goods or services",73183426152370000,,ElisabethBates," @JACKHARRYKSHB: Mizzou athletics producing tornado relief T-shirts,""One State. One Spirit. One Mizzou"".  $14.95. All proceeds to the  ...",,136484151,,
197558752,false,finalized,3,9/8/2012 06:32:43,Both (invites and reports),1.0,"Other, or not specified",1.0,"
supply drive
Anything","
Joplin
501 Turner Ave","
men of @MizzouDeltaChi
The men of @MizzouDeltaChi","Donations of money, goods or services",72778671735316400,,mizzoumegbarry, @RSVPCenter: The men of @MizzouDeltaChi have organized a supply drive for #Joplin #MO. Anything taken to 501 Turner Ave will be donat ...,,27479576,,
197558753,false,finalized,3,9/8/2012 19:09:12,Invites/asks people to donate/provide/give/do something,0.6457,Money,0.6791,"$1

donate $1","joplin

Joplin","Old Rock House

Old Rock House","Donations of money, goods or services",73508848387891200,,agtiger1, @oldrockhousestl: Old Rock House will donate $1 to Heart of Missouri United Way for Joplin Tornado relief every time this is re-tweet ...,,177709167,,
197558754,false,finalized,3,9/8/2012 06:57:22,Reports that something has been donated/provided/given/done,0.7053,"Other, or not specified",1.0,"visit
visit
","Joplin, Missouri
Joplin, Missouri
Joplin, Missouri","@BarackObama
BarackObama
@BarackObama","Donations of money, goods or services",74898633622949600,,jrcarrabe," @BarackObama: In Joplin, Missouri, today to visit with those who lost so much in last week's devastating tornado.",,25920261,,
197558755,false,finalized,3,9/8/2012 07:13:10,Reports that something has been donated/provided/given/done,1.0,"Other, or not specified",1.0,"

","

","

","Donations of money, goods or services",75818132916289504,,RMVTaylorSwift,Rimes' Ponte Vedra tornado benefit attracting big-name support http://bit.ly/lUhSGC,,273586226,,
197558756,false,finalized,3,9/8/2012 05:58:40,Invites/asks people to donate/provide/give/do something,0.359,Volunteers/work,1.0,"help
Tornado Clean Up
help with Tornado Clean Up","Joplin, MO
Joplin, MO
Joplin, MO","Circus elephants
Circus elephants
Circus elephants","Donations of money, goods or services",76123683697070000,,DonovanHurter,"Ugh, deplorable.  @majornelson: Circus elephants help with Tornado Clean Up in Joplin, MO http://t.co/01qIMuM",,58984712,,
197558757,false,finalized,3,9/8/2012 07:30:42,Reports that something has been donated/provided/given/done,1.0,Food,0.359,"Assist With Tornado Relief Efforts
Tornado Relief Efforts
","Shelby County Schools
Shelby County
","Shelby County Schools
Shelby County Schools
","Donations of money, goods or services",74181068185538400,,Shelbyedk12alus,Shelby County Schools Assist With Tornado Relief Efforts  http://www.shelbyed.k12.al.us/community.htm,,44616705,,
197558758,false,finalized,3,9/8/2012 07:44:39,Reports that something has been donated/provided/given/done,1.0,"Other, or not specified",1.0,"contributing

","

","Former Lady Tiger and WNBA guard Temeka Johnson
Temeka Johnson
","Donations of money, goods or services",77520866371584000,,MercuryMaven,Thx to @quickdeuce!  @LSUwbkb Former Lady Tiger and WNBA guard Temeka Johnson contributing to tornado relief ... http://tmi.me/b9X11,,17221597,,
197558759,false,finalized,3,9/8/2012 07:54:56,Reports that something has been donated/provided/given/done,0.351,Money,1.0,"% of future sales
Tornado victim relief funds
donate a % of future sales","

","
fannyseat
I will","Donations of money, goods or services",77401842866327504,,Dripnot,@fannyseat ~ I will donate a % of future sales of my products to Tornado victim relief funds. I challenge the rest of you as well.,,277254267,,
197558760,false,finalized,3,9/8/2012 07:51:31,None of the above,0.6986,"Other, or not specified",1.0,"

","
Joplin
","

","Donations of money, goods or services",74924150254342000,,lahalla,"@BarackObama ""These things are beyond our power to control, but that doesn't mean we are powerless in the face of adversity."" in #Joplin",,52823997,,
