,category,description,ends,event,headline,messageType,place,senderName,sent,severity,urgency
435,Met,"* Sabin...on the South Branch Buffalo River...in Clay County
* Alvarado...on the Snake River...in Marshall County

...The flood warning continues for these river locations in
Minnesota...

* Hawley...on the Buffalo River ...in Clay County
* Dilworth...on the Buffalo River ...in Clay County
* Hendrum...on the Wild Rice River (MN) ...in Norman County
* Shelly...on the Marsh River ...in Norman County
* Climax...on the Sandhill River ...in Polk County
* Crookston...on the Red Lake River ...in Polk County
* Hallock...on the Two Rivers River ...in Kittson County


.Runoff from snowmelt is expected to wrap up today as any remaining
snow will be melted by warm temperatures today. However, rain is
expected across the region late tonight and through the day
Wednesday. The combination of the remainder of the snowmelt and
upcoming rainfall is driving a secondary rise and/or slow decline in
water levels in regional rivers. This current forecast
incorporates the rainfall forecast for the next 48 hours.


This forecast is for a 7-day period...the highest stage
indicated may not reflect the crest for this event.

Forecasts are updated daily and stage values will change
as new weather and river information is used.

River forecasts use 24 hours of forecast precipitation
between April 1st and October 1st, and 48 hours otherwise.
However, depending on the situation, they may include
precipitation expected through the next 72 hours.
The Flood Warning continues for...
* ...Climax...on the Sandhill River.
* until further notice...or until the warning is cancelled.
* At  8:45 AM Tuesday the stage was 27.5 feet.
* Moderate flooding is occurring and during the next 7 days...
Moderate flooding is forecast.
* Moderate Flood Stage is 25.0 feet.
* Forecast...the river will continue to fall to a stage of 27.3 feet
by Wednesday mid-morning.
* Impact Statement(s) - At 26.0 feet, Hwy 75 north of Climax is closed
and underwater.",,Flood Warning,Flood Warning issued April 16 at 9:33AM CDT by NWS Grand Forks ND,Update,"Polk, MN",NWS Grand Forks ND,2019-04-16 14:38:48,Severe,Immediate
437,Met,"* Sabin...on the South Branch Buffalo River...in Clay County
* Alvarado...on the Snake River...in Marshall County

...The flood warning continues for these river locations in
Minnesota...

* Hawley...on the Buffalo River ...in Clay County
* Dilworth...on the Buffalo River ...in Clay County
* Hendrum...on the Wild Rice River (MN) ...in Norman County
* Shelly...on the Marsh River ...in Norman County
* Climax...on the Sandhill River ...in Polk County
* Crookston...on the Red Lake River ...in Polk County
* Hallock...on the Two Rivers River ...in Kittson County


.Runoff from snowmelt is expected to wrap up today as any remaining
snow will be melted by warm temperatures today. However, rain is
expected across the region late tonight and through the day
Wednesday. The combination of the remainder of the snowmelt and
upcoming rainfall is driving a secondary rise and/or slow decline in
water levels in regional rivers. This current forecast
incorporates the rainfall forecast for the next 48 hours.


This forecast is for a 7-day period...the highest stage
indicated may not reflect the crest for this event.

Forecasts are updated daily and stage values will change
as new weather and river information is used.

River forecasts use 24 hours of forecast precipitation
between April 1st and October 1st, and 48 hours otherwise.
However, depending on the situation, they may include
precipitation expected through the next 72 hours.
The Flood Warning continues for...
* ...Hendrum...on the Wild Rice River (MN).
* until further notice...or until the warning is cancelled.
* At  8:30 AM Tuesday the stage was 30.3 feet.
* Moderate flooding is occurring and during the next 7 days...
Moderate flooding is forecast.
* Moderate Flood Stage is 28.0 feet.
* Forecast...the river will continue to fall to a stage of 30.2 feet
by Wednesday mid-morning.
* Impact Statement(s) - At 31.0 feet, Water levels reach low steel on
bottom of county highway 25 bridge.",,Flood Warning,Flood Warning issued April 16 at 9:33AM CDT by NWS Grand Forks ND,Update,"Norman, MN",NWS Grand Forks ND,2019-04-16 14:38:48,Severe,Immediate
438,Met,"* Sabin...on the South Branch Buffalo River...in Clay County
* Alvarado...on the Snake River...in Marshall County

...The flood warning continues for these river locations in
Minnesota...

* Hawley...on the Buffalo River ...in Clay County
* Dilworth...on the Buffalo River ...in Clay County
* Hendrum...on the Wild Rice River (MN) ...in Norman County
* Shelly...on the Marsh River ...in Norman County
* Climax...on the Sandhill River ...in Polk County
* Crookston...on the Red Lake River ...in Polk County
* Hallock...on the Two Rivers River ...in Kittson County


.Runoff from snowmelt is expected to wrap up today as any remaining
snow will be melted by warm temperatures today. However, rain is
expected across the region late tonight and through the day
Wednesday. The combination of the remainder of the snowmelt and
upcoming rainfall is driving a secondary rise and/or slow decline in
water levels in regional rivers. This current forecast
incorporates the rainfall forecast for the next 48 hours.


This forecast is for a 7-day period...the highest stage
indicated may not reflect the crest for this event.

Forecasts are updated daily and stage values will change
as new weather and river information is used.

River forecasts use 24 hours of forecast precipitation
between April 1st and October 1st, and 48 hours otherwise.
However, depending on the situation, they may include
precipitation expected through the next 72 hours.
The Flood Warning continues for...
* ...Hallock...on the Two Rivers River.
* until further notice...or until the warning is cancelled.
* At  9:00 AM Tuesday the stage was 802.5 feet.
* Minor flooding is occurring and during the next 7 days...Minor
flooding is forecast.
* Minor Flood Stage is 802.0 feet.
* Forecast...the river will rise to a crest near 805.0 feet sometime
early Saturday morning then begin falling.
* Impact Statement(s) - At 804.5 feet, Backup at Reach 2 Dike,
Cemetery road at 6th St. S. - Shut Storm Valve.",,Flood Warning,Flood Warning issued April 16 at 9:33AM CDT by NWS Grand Forks ND,Update,"Kittson, MN",NWS Grand Forks ND,2019-04-16 14:38:48,Severe,Immediate
439,Met,"* Sabin...on the South Branch Buffalo River...in Clay County
* Alvarado...on the Snake River...in Marshall County

...The flood warning continues for these river locations in
Minnesota...

* Hawley...on the Buffalo River ...in Clay County
* Dilworth...on the Buffalo River ...in Clay County
* Hendrum...on the Wild Rice River (MN) ...in Norman County
* Shelly...on the Marsh River ...in Norman County
* Climax...on the Sandhill River ...in Polk County
* Crookston...on the Red Lake River ...in Polk County
* Hallock...on the Two Rivers River ...in Kittson County


.Runoff from snowmelt is expected to wrap up today as any remaining
snow will be melted by warm temperatures today. However, rain is
expected across the region late tonight and through the day
Wednesday. The combination of the remainder of the snowmelt and
upcoming rainfall is driving a secondary rise and/or slow decline in
water levels in regional rivers. This current forecast
incorporates the rainfall forecast for the next 48 hours.


This forecast is for a 7-day period...the highest stage
indicated may not reflect the crest for this event.

Forecasts are updated daily and stage values will change
as new weather and river information is used.

River forecasts use 24 hours of forecast precipitation
between April 1st and October 1st, and 48 hours otherwise.
However, depending on the situation, they may include
precipitation expected through the next 72 hours.
The Flood Warning continues for...
* ...Crookston...on the Red Lake River.
* until further notice...or until the warning is cancelled.
* At  8:45 AM Tuesday the stage was 16.5 feet.
* Minor flooding is occurring and during the next 7 days...Minor
flooding is forecast.
* Minor Flood Stage is 15.0 feet.
* Forecast...the river will rise to a crest near 21.5 feet sometime
Friday mid-morning then begin falling.
* Impact Statement(s) - At 23.0 feet, MODERATE FLOOD STAGE.",,Flood Warning,Flood Warning issued April 16 at 9:33AM CDT by NWS Grand Forks ND,Update,"Polk, MN",NWS Grand Forks ND,2019-04-16 14:38:48,Severe,Immediate
321,Met,"Forecast flooding changed from Moderate to Major Severity for...
*  Abercrombie...on the Wild Rice River (ND)...in Richland County.

* Abercrombie...on the Wild Rice River (ND)...in Richland County.

.Runoff from snowmelt is expected to wrap up today as any remaining
snow will be melted by warm temperatures today. However, rain
expected across the region over the next 48 hours that will
contribute to a rise in water levels into Major flood stage at
Abercrombie.


*** A follow-up flood statement with more detailed flooding
information will be issued shortly. ***",,Flood Warning,Flood Warning issued April 16 at 10:26AM CDT by NWS Grand Forks ND,Update,"Richland, ND",NWS Grand Forks ND,2019-04-16 15:26:00,Severe,Expected
309,Met,"* Hickson...on the Red River...in Cass County

...The flood warning continues for these river locations in
Minnesota...North Dakota...

* Wahpeton...on the Red River ...in Wilkin and Richland Counties
* Fargo...on the Red River ...in Clay and Cass Counties
* Halstad...on the Red River ...in Norman and Traill Counties
* East Grand Forks...on the Red River ...in Polk and Grand Forks
Counties
* Oslo...on the Red River ...in Marshall...Polk...Grand Forks and
Walsh Counties
* Drayton...on the Red River ...in Kittson...Marshall...Pembina and
Walsh Counties
* Pembina...on the Red River ...in Kittson and Pembina Counties
* Abercrombie...on the Wild Rice River (ND) ...in Richland County


.Runoff from snowmelt is expected to wrap up today as any remaining
snow will be melted by warm temperatures today. However, rain is
expected across the region late tonight and through the day
Wednesday. The combination of the remainder of the snowmelt and
upcoming rainfall is driving a secondary rise and/or slow decline in
water levels in regional rivers. This current forecast
incorporates the rainfall forecast for the next 48 hours.


This forecast is for a 7-day period...the highest stage
indicated may not reflect the crest for this event.

Forecasts are updated daily and stage values will change
as new weather and river information is used.

River forecasts use 24 hours of forecast precipitation
between April 1st and October 1st, and 48 hours otherwise.
However, depending on the situation, they may include
precipitation expected through the next 72 hours.
The Flood Warning continues for...
* ...Halstad...on the Red River.
* until further notice...or until the warning is cancelled.
* At  9:30 AM Tuesday the stage was 38.0 feet.
* Major flooding is occurring and during the next 7 days...Major
flooding is forecast.
* Major Flood Stage is 37.5 feet.
* Forecast...the river will continue to fall to a stage of 37.5 feet
by Wednesday mid-morning.
* Impact Statement(s) - At 38.0 feet, US Highway 75 closure installed
on the south side of the Halstad ring dike.",,Flood Warning,Flood Warning issued April 16 at 10:32AM CDT by NWS Grand Forks ND,Update,"Norman, MN; Traill, ND",NWS Grand Forks ND,2019-04-16 15:32:00,Severe,Immediate
310,Met,"* Hickson...on the Red River...in Cass County

...The flood warning continues for these river locations in
Minnesota...North Dakota...

* Wahpeton...on the Red River ...in Wilkin and Richland Counties
* Fargo...on the Red River ...in Clay and Cass Counties
* Halstad...on the Red River ...in Norman and Traill Counties
* East Grand Forks...on the Red River ...in Polk and Grand Forks
Counties
* Oslo...on the Red River ...in Marshall...Polk...Grand Forks and
Walsh Counties
* Drayton...on the Red River ...in Kittson...Marshall...Pembina and
Walsh Counties
* Pembina...on the Red River ...in Kittson and Pembina Counties
* Abercrombie...on the Wild Rice River (ND) ...in Richland County


.Runoff from snowmelt is expected to wrap up today as any remaining
snow will be melted by warm temperatures today. However, rain is
expected across the region late tonight and through the day
Wednesday. The combination of the remainder of the snowmelt and
upcoming rainfall is driving a secondary rise and/or slow decline in
water levels in regional rivers. This current forecast
incorporates the rainfall forecast for the next 48 hours.


This forecast is for a 7-day period...the highest stage
indicated may not reflect the crest for this event.

Forecasts are updated daily and stage values will change
as new weather and river information is used.

River forecasts use 24 hours of forecast precipitation
between April 1st and October 1st, and 48 hours otherwise.
However, depending on the situation, they may include
precipitation expected through the next 72 hours.
The Flood Warning continues for...
* ...Abercrombie...on the Wild Rice River (ND).
* until further notice...or until the warning is cancelled.
* At 10:15 AM Tuesday the stage was 16.2 feet.
* Moderate flooding is occurring and during the next 7 days...Major
flooding is forecast.
* Major Flood Stage is 18.0 feet.
* Forecast...the river will rise to a crest near 19.5 feet sometime
early Friday morning then begin falling.
* Impact Statement(s) - At 20.0 feet, County Road 3 bridge (downstream
of gage) starts to flood.",,Flood Warning,Flood Warning issued April 16 at 10:32AM CDT by NWS Grand Forks ND,Update,"Richland, ND",NWS Grand Forks ND,2019-04-16 15:32:00,Severe,Immediate
311,Met,"* Hickson...on the Red River...in Cass County

...The flood warning continues for these river locations in
Minnesota...North Dakota...

* Wahpeton...on the Red River ...in Wilkin and Richland Counties
* Fargo...on the Red River ...in Clay and Cass Counties
* Halstad...on the Red River ...in Norman and Traill Counties
* East Grand Forks...on the Red River ...in Polk and Grand Forks
Counties
* Oslo...on the Red River ...in Marshall...Polk...Grand Forks and
Walsh Counties
* Drayton...on the Red River ...in Kittson...Marshall...Pembina and
Walsh Counties
* Pembina...on the Red River ...in Kittson and Pembina Counties
* Abercrombie...on the Wild Rice River (ND) ...in Richland County


.Runoff from snowmelt is expected to wrap up today as any remaining
snow will be melted by warm temperatures today. However, rain is
expected across the region late tonight and through the day
Wednesday. The combination of the remainder of the snowmelt and
upcoming rainfall is driving a secondary rise and/or slow decline in
water levels in regional rivers. This current forecast
incorporates the rainfall forecast for the next 48 hours.


This forecast is for a 7-day period...the highest stage
indicated may not reflect the crest for this event.

Forecasts are updated daily and stage values will change
as new weather and river information is used.

River forecasts use 24 hours of forecast precipitation
between April 1st and October 1st, and 48 hours otherwise.
However, depending on the situation, they may include
precipitation expected through the next 72 hours.
The Flood Warning continues for...
* ...Pembina...on the Red River.
* until further notice...or until the warning is cancelled.
* At  9:30 AM Tuesday the stage was 45.1 feet.
* Moderate flooding is occurring and during the next 7 days...Major
flooding is forecast.
* Major Flood Stage is 49.0 feet.
* Forecast...the river will continue rising to near 50.5 feet by
early Tuesday morning.  Additional rises may be possible
thereafter.
* Impact Statement(s) - At 50.0 feet, South end of Airport Road
closes.",,Flood Warning,Flood Warning issued April 16 at 10:32AM CDT by NWS Grand Forks ND,Update,"Pembina, ND; Kittson, MN",NWS Grand Forks ND,2019-04-16 15:32:00,Severe,Immediate
312,Met,"* Hickson...on the Red River...in Cass County

...The flood warning continues for these river locations in
Minnesota...North Dakota...

* Wahpeton...on the Red River ...in Wilkin and Richland Counties
* Fargo...on the Red River ...in Clay and Cass Counties
* Halstad...on the Red River ...in Norman and Traill Counties
* East Grand Forks...on the Red River ...in Polk and Grand Forks
Counties
* Oslo...on the Red River ...in Marshall...Polk...Grand Forks and
Walsh Counties
* Drayton...on the Red River ...in Kittson...Marshall...Pembina and
Walsh Counties
* Pembina...on the Red River ...in Kittson and Pembina Counties
* Abercrombie...on the Wild Rice River (ND) ...in Richland County


.Runoff from snowmelt is expected to wrap up today as any remaining
snow will be melted by warm temperatures today. However, rain is
expected across the region late tonight and through the day
Wednesday. The combination of the remainder of the snowmelt and
upcoming rainfall is driving a secondary rise and/or slow decline in
water levels in regional rivers. This current forecast
incorporates the rainfall forecast for the next 48 hours.


This forecast is for a 7-day period...the highest stage
indicated may not reflect the crest for this event.

Forecasts are updated daily and stage values will change
as new weather and river information is used.

River forecasts use 24 hours of forecast precipitation
between April 1st and October 1st, and 48 hours otherwise.
However, depending on the situation, they may include
precipitation expected through the next 72 hours.
The Flood Warning continues for...
* ...Hickson...on the Red River.
* from late Friday night until further notice...or until the warning
is cancelled.
* At  9:45 AM Tuesday the stage was 25.4 feet.
* Minor Flood Stage is 30.0 feet.
* Forecast...rise above Flood Stage by early Saturday morning and
continue to rise to near 32.0 feet by Sunday evening.
* Impact Statement(s) - At 32.0 feet, Water on bridge deck.",,Flood Warning,Flood Warning issued April 16 at 10:32AM CDT by NWS Grand Forks ND,Update,"Cass, ND",NWS Grand Forks ND,2019-04-16 15:32:00,Severe,Immediate
313,Met,"* Hickson...on the Red River...in Cass County

...The flood warning continues for these river locations in
Minnesota...North Dakota...

* Wahpeton...on the Red River ...in Wilkin and Richland Counties
* Fargo...on the Red River ...in Clay and Cass Counties
* Halstad...on the Red River ...in Norman and Traill Counties
* East Grand Forks...on the Red River ...in Polk and Grand Forks
Counties
* Oslo...on the Red River ...in Marshall...Polk...Grand Forks and
Walsh Counties
* Drayton...on the Red River ...in Kittson...Marshall...Pembina and
Walsh Counties
* Pembina...on the Red River ...in Kittson and Pembina Counties
* Abercrombie...on the Wild Rice River (ND) ...in Richland County


.Runoff from snowmelt is expected to wrap up today as any remaining
snow will be melted by warm temperatures today. However, rain is
expected across the region late tonight and through the day
Wednesday. The combination of the remainder of the snowmelt and
upcoming rainfall is driving a secondary rise and/or slow decline in
water levels in regional rivers. This current forecast
incorporates the rainfall forecast for the next 48 hours.


This forecast is for a 7-day period...the highest stage
indicated may not reflect the crest for this event.

Forecasts are updated daily and stage values will change
as new weather and river information is used.

River forecasts use 24 hours of forecast precipitation
between April 1st and October 1st, and 48 hours otherwise.
However, depending on the situation, they may include
precipitation expected through the next 72 hours.
The Flood Warning continues for...
* ...Oslo...on the Red River.
* until further notice...or until the warning is cancelled.
* At 10:15 AM Tuesday the stage was 37.5 feet.
* Major flooding is occurring and during the next 7 days...Major
flooding is forecast.
* Major Flood Stage is 36.0 feet.
* Forecast...the river will continue rising to near 37.6 feet by
Tuesday early afternoon.  Additional rises may be possible
thereafter.
* Impact Statement(s) - At 37.5 feet, State Highway 1 overtops (MN
DOT).",,Flood Warning,Flood Warning issued April 16 at 10:32AM CDT by NWS Grand Forks ND,Update,"Walsh, ND; Polk, MN; Grand Forks, ND; Marshall, MN",NWS Grand Forks ND,2019-04-16 15:32:00,Severe,Immediate
315,Met,"* Hickson...on the Red River...in Cass County

...The flood warning continues for these river locations in
Minnesota...North Dakota...

* Wahpeton...on the Red River ...in Wilkin and Richland Counties
* Fargo...on the Red River ...in Clay and Cass Counties
* Halstad...on the Red River ...in Norman and Traill Counties
* East Grand Forks...on the Red River ...in Polk and Grand Forks
Counties
* Oslo...on the Red River ...in Marshall...Polk...Grand Forks and
Walsh Counties
* Drayton...on the Red River ...in Kittson...Marshall...Pembina and
Walsh Counties
* Pembina...on the Red River ...in Kittson and Pembina Counties
* Abercrombie...on the Wild Rice River (ND) ...in Richland County


.Runoff from snowmelt is expected to wrap up today as any remaining
snow will be melted by warm temperatures today. However, rain is
expected across the region late tonight and through the day
Wednesday. The combination of the remainder of the snowmelt and
upcoming rainfall is driving a secondary rise and/or slow decline in
water levels in regional rivers. This current forecast
incorporates the rainfall forecast for the next 48 hours.


This forecast is for a 7-day period...the highest stage
indicated may not reflect the crest for this event.

Forecasts are updated daily and stage values will change
as new weather and river information is used.

River forecasts use 24 hours of forecast precipitation
between April 1st and October 1st, and 48 hours otherwise.
However, depending on the situation, they may include
precipitation expected through the next 72 hours.
The Flood Warning continues for...
* ...East Grand Forks...on the Red River.
* until further notice...or until the warning is cancelled.
* At  9:45 AM Tuesday the stage was 44.8 feet.
* Moderate flooding is occurring and during the next 7 days...
Moderate flooding is forecast.
* Moderate Flood Stage is 40.0 feet.
* Forecast...the river will rise to a crest near 45.5 feet sometime
Saturday mid-morning then begin falling.
* Impact Statement(s) - At 46.0 feet, MAJOR FLOOD STAGE.",,Flood Warning,Flood Warning issued April 16 at 10:32AM CDT by NWS Grand Forks ND,Update,"Polk, MN; Grand Forks, ND",NWS Grand Forks ND,2019-04-16 15:32:00,Severe,Immediate
316,Met,"* Hickson...on the Red River...in Cass County

...The flood warning continues for these river locations in
Minnesota...North Dakota...

* Wahpeton...on the Red River ...in Wilkin and Richland Counties
* Fargo...on the Red River ...in Clay and Cass Counties
* Halstad...on the Red River ...in Norman and Traill Counties
* East Grand Forks...on the Red River ...in Polk and Grand Forks
Counties
* Oslo...on the Red River ...in Marshall...Polk...Grand Forks and
Walsh Counties
* Drayton...on the Red River ...in Kittson...Marshall...Pembina and
Walsh Counties
* Pembina...on the Red River ...in Kittson and Pembina Counties
* Abercrombie...on the Wild Rice River (ND) ...in Richland County


.Runoff from snowmelt is expected to wrap up today as any remaining
snow will be melted by warm temperatures today. However, rain is
expected across the region late tonight and through the day
Wednesday. The combination of the remainder of the snowmelt and
upcoming rainfall is driving a secondary rise and/or slow decline in
water levels in regional rivers. This current forecast
incorporates the rainfall forecast for the next 48 hours.


This forecast is for a 7-day period...the highest stage
indicated may not reflect the crest for this event.

Forecasts are updated daily and stage values will change
as new weather and river information is used.

River forecasts use 24 hours of forecast precipitation
between April 1st and October 1st, and 48 hours otherwise.
However, depending on the situation, they may include
precipitation expected through the next 72 hours.
The Flood Warning continues for...
* ...Wahpeton...on the Red River.
* until further notice...or until the warning is cancelled.
* At  9:30 AM Tuesday the stage was 12.6 feet.
* Minor flooding is occurring and during the next 7 days...Moderate
flooding is forecast.
* Moderate Flood Stage is 13.0 feet.
* Forecast...the river will rise to a crest near 14.5 feet sometime
early Friday morning then begin falling.
* Impact Statement(s) - At 15.0 feet, MAJOR FLOOD. Wahpeton storm
sewer outlets and Main Sreet closed.",,Flood Warning,Flood Warning issued April 16 at 10:32AM CDT by NWS Grand Forks ND,Update,"Wilkin, MN; Richland, ND",NWS Grand Forks ND,2019-04-16 15:32:00,Severe,Immediate
317,Met,"* Hickson...on the Red River...in Cass County

...The flood warning continues for these river locations in
Minnesota...North Dakota...

* Wahpeton...on the Red River ...in Wilkin and Richland Counties
* Fargo...on the Red River ...in Clay and Cass Counties
* Halstad...on the Red River ...in Norman and Traill Counties
* East Grand Forks...on the Red River ...in Polk and Grand Forks
Counties
* Oslo...on the Red River ...in Marshall...Polk...Grand Forks and
Walsh Counties
* Drayton...on the Red River ...in Kittson...Marshall...Pembina and
Walsh Counties
* Pembina...on the Red River ...in Kittson and Pembina Counties
* Abercrombie...on the Wild Rice River (ND) ...in Richland County


.Runoff from snowmelt is expected to wrap up today as any remaining
snow will be melted by warm temperatures today. However, rain is
expected across the region late tonight and through the day
Wednesday. The combination of the remainder of the snowmelt and
upcoming rainfall is driving a secondary rise and/or slow decline in
water levels in regional rivers. This current forecast
incorporates the rainfall forecast for the next 48 hours.


This forecast is for a 7-day period...the highest stage
indicated may not reflect the crest for this event.

Forecasts are updated daily and stage values will change
as new weather and river information is used.

River forecasts use 24 hours of forecast precipitation
between April 1st and October 1st, and 48 hours otherwise.
However, depending on the situation, they may include
precipitation expected through the next 72 hours.
The Flood Warning continues for...
* ...Fargo...on the Red River.
* until further notice...or until the warning is cancelled.
* At  9:15 AM Tuesday the stage was 29.4 feet.
* Moderate flooding is occurring and during the next 7 days...Major
flooding is forecast.
* Major Flood Stage is 30.0 feet.
* Forecast...the river will rise to a crest near 32.5 feet sometime
Sunday early afternoon then begin falling.
* Impact Statement(s) - At 33.0 feet, Wall Street Avenue N is closed
(Moorhead).",,Flood Warning,Flood Warning issued April 16 at 10:32AM CDT by NWS Grand Forks ND,Update,"Cass, ND; Clay, MN",NWS Grand Forks ND,2019-04-16 15:32:00,Severe,Immediate
318,Met,"* Hickson...on the Red River...in Cass County

...The flood warning continues for these river locations in
Minnesota...North Dakota...

* Wahpeton...on the Red River ...in Wilkin and Richland Counties
* Fargo...on the Red River ...in Clay and Cass Counties
* Halstad...on the Red River ...in Norman and Traill Counties
* East Grand Forks...on the Red River ...in Polk and Grand Forks
Counties
* Oslo...on the Red River ...in Marshall...Polk...Grand Forks and
Walsh Counties
* Drayton...on the Red River ...in Kittson...Marshall...Pembina and
Walsh Counties
* Pembina...on the Red River ...in Kittson and Pembina Counties
* Abercrombie...on the Wild Rice River (ND) ...in Richland County


.Runoff from snowmelt is expected to wrap up today as any remaining
snow will be melted by warm temperatures today. However, rain is
expected across the region late tonight and through the day
Wednesday. The combination of the remainder of the snowmelt and
upcoming rainfall is driving a secondary rise and/or slow decline in
water levels in regional rivers. This current forecast
incorporates the rainfall forecast for the next 48 hours.


This forecast is for a 7-day period...the highest stage
indicated may not reflect the crest for this event.

Forecasts are updated daily and stage values will change
as new weather and river information is used.

River forecasts use 24 hours of forecast precipitation
between April 1st and October 1st, and 48 hours otherwise.
However, depending on the situation, they may include
precipitation expected through the next 72 hours.
The Flood Warning continues for...
* ...Drayton...on the Red River.
* until further notice...or until the warning is cancelled.
* At  9:45 AM Tuesday the stage was 41.9 feet.
* Moderate flooding is occurring and during the next 7 days...Major
flooding is forecast.
* Major Flood Stage is 42.0 feet.
* Forecast...the river will rise to a crest near 42.5 feet sometime
early Friday morning then begin falling.
* Impact Statement(s) - At 42.0 feet, Major Flood Stage. General Urban
Flood Damage to Drayton and its environs.",,Flood Warning,Flood Warning issued April 16 at 10:32AM CDT by NWS Grand Forks ND,Update,"Walsh, ND; Pembina, ND; Kittson, MN; Marshall, MN",NWS Grand Forks ND,2019-04-16 15:32:00,Severe,Immediate
122,Met,"At 220 PM CDT, overland flooding was occurring due to snowmelt.

Some locations that will experience flooding include...
Fargo, Moorhead, West Fargo, East Grand Forks, Crookston, Dilworth
and Horace.

This includes the following highways...
Interstate 29 between mile markers 49 and 111, and between mile
markers 114 and 122.
Interstate 94 in North Dakota between mile markers 337 and 352.
Interstate 94 in Minnesota between mile markers 1 and 16.",2019-04-18 20:00:00,Flood Warning,Flood Warning issued April 16 at 2:21PM CDT until April 18 at 3:00PM CDT by NWS Grand Forks ND,Update,"Cass, ND; Polk, MN; Norman, MN; Traill, ND; Marshall, MN; Clay, MN",NWS Grand Forks ND,2019-04-16 19:21:00,Severe,Immediate
117,Met,"At 222 PM CDT, emergency management reported snowmelt causing
flooding through the northern half of the Red River Valley.

Some locations that will experience flooding include...
Grand Forks, Thompson, Drayton, Pembina, Manvel, Reynolds and St.
Vincent.

This includes Interstate 29 between mile markers 123 and 217.",2019-04-18 20:00:00,Flood Advisory,Flood Advisory issued April 16 at 2:23PM CDT until April 18 at 3:00PM CDT by NWS Grand Forks ND,Update,"Walsh, ND; Pembina, ND; Grand Forks, ND; Kittson, MN; Marshall, MN",NWS Grand Forks ND,2019-04-16 19:23:00,Minor,Expected
146,Met,The Flood Warning has been cancelled and is no longer in effect.,2019-04-17 08:50:00,Flood Warning,The Flood Warning has been cancelled.,Cancel,"Somerset, ME",NWS Gray ME,2019-04-16 18:04:00,Minor,Past
147,Met,"Kennebec River At Skowhegan affecting Somerset County
Kennebec River At Augusta affecting Kennebec County

...The flood warning continues for the following rivers in New
Hampshire...Vermont
Connecticut River Near Dalton affecting Coos and Essex Counties
The flood warning continues for
The Connecticut River Near Dalton.
* Until Thursday morning.
* At 1 PM the stage was 18.0 feet.
* Flood stage is 17.0 feet.
* The river will continue rising to near 18.2 feet by this evening.
The river will fall below flood stage early Thursday morning.
* Impact...At 17.5 feet...Lamoureux Road in Maidstone Vermont flooded.

* Impact...At 17.0 feet...Minor lowland flooding occurs.",2019-04-18 14:00:00,Flood Warning,Flood Warning issued April 16 at 2:04PM EDT until April 18 at 10:00AM EDT by NWS Gray ME,Update,"Coos, NH; Essex, VT",NWS Gray ME,2019-04-16 18:04:00,Severe,Immediate
148,Met,The Flood Warning has been cancelled and is no longer in effect.,2019-04-17 01:00:00,Flood Warning,The Flood Warning has been cancelled.,Cancel,"Kennebec, ME",NWS Gray ME,2019-04-16 18:04:00,Minor,Past
133,Met,The Gale Warning has been cancelled and is no longer in effect.,2019-04-16 20:00:00,Gale Warning,The Gale Warning has been cancelled.,Cancel,"Coastal Waters from Stonington, ME to Port Clyde, ME out 25 NM; Penobscot Bay; Casco Bay; Coastal Waters from Port Clyde, ME to Cape Elizabeth, ME out 25 NM; Coastal Waters from Cape Elizabeth, ME to Merrimack River, MA out 25 NM",NWS Gray ME,2019-04-16 18:46:00,Minor,Past
134,Met,"The National Weather Service in Gray has issued a Small Craft
Advisory, which is in effect until midnight EDT tonight. The Gale
Warning has been cancelled.

* WINDS...Northwest 15 to 25 kt with gusts up to 30 kt.

* SEAS...3 to 5 feet.",2019-04-17 04:00:00,Small Craft Advisory,Small Craft Advisory issued April 16 at 2:46PM EDT until April 17 at 12:00AM EDT by NWS Gray ME,Alert,"Coastal Waters from Stonington, ME to Port Clyde, ME out 25 NM; Penobscot Bay; Casco Bay; Coastal Waters from Port Clyde, ME to Cape Elizabeth, ME out 25 NM; Coastal Waters from Cape Elizabeth, ME to Merrimack River, MA out 25 NM",NWS Gray ME,2019-04-16 18:46:00,Minor,Expected
173,Met,"A fast moving storm system will bring primarily rain to
elevations below 5500 feet and snow to elevations above 5500 feet
through this afternoon and into early this evening. Snow could mix
in with the rain at lower elevations in the heavier bursts of
precipitation, but no accumulations are expected. Snow
accumulations above 5500 feet of 1 to 3 inches are possible,
especially on grassy surfaces. Road surfaces could become slick
due to slushy snow, especially at higher elevations like Kings
Hill Pass.",,Special Weather Statement,Special Weather Statement issued April 16 at 10:54AM MDT by NWS Great Falls MT,Alert,Cascade; Judith Basin; Meagher,NWS Great Falls MT,2019-04-16 16:54:00,Moderate,Expected
153,Met,"Daytime heating has allowed road surface temperatures to warm
above freezing at most locations. As a result, the winter weather
advisory will be allowed to expire at noon today. Precipitation
will slowly end from southwest to northeast this afternoon.
Continue to use caution if traveling as road surfaces are wet and
some elevated surfaces such as bridges and overpasses can still
have icy spots.",2019-04-16 18:00:00,Winter Weather Advisory,Winter Weather Advisory issued April 16 at 11:44AM MDT until April 16 at 12:00PM MDT by NWS Great Falls MT,Update,Jefferson; Central and Southern Lewis and Clark,NWS Great Falls MT,2019-04-16 17:44:00,Moderate,Expected
